time,ankle_angle,commanded_torque
10.1920242458876,-4.58715839663873,-7.86339405037483
10.2000242649189,-4.69949688242819,-7.96408138268184
10.2080242839502,-4.80954886745678,-8.06726325107242
10.2160243029815,-4.91743041794191,-8.17293086743382
10.2240243220129,-5.02324585912758,-8.28104857938422
10.2320243410442,-5.12708722477237,-8.39155720194187
10.2400243600755,-5.22903379195825,-8.50437736329883
10.2480243791068,-5.32915176161487,-8.61941283592139
10.2560243981381,-5.4274941471096,-8.73655385552876
10.2640244171694,-5.52410092992621,-8.85568045896072
10.2720244362007,-5.61899953251805,-8.97666589109208
10.280024455232,-5.71220564242202,-9.09938013220339
10.2880244742633,-5.80372439643131,-9.22369357396498
10.2960244932946,-5.89355189986057,-9.34948082546858
10.3040245123259,-5.98167701932869,-9.47662457084414
10.3120245313573,-6.06808335548336,-9.60501934165851
10.3200245503886,-6.15275127977006,-9.73457502187479
10.3280245694199,-6.23565990860165,-9.86521987453987
10.3360245884512,-6.31678888959508,-9.99690286817756
10.3440246074825,-6.39611988759612,-10.1295950922914
10.3520246265138,-6.47363768126852,-10.2632900943357
10.3600246455451,-6.54933081098377,-10.3980030463428
10.3680246645764,-6.62319175234178,-10.533768745536
10.3760246836077,-6.69521662475558,-10.670638550674
10.384024702639,-6.76540448049032,-10.8086764399195
10.3920247216703,-6.8337562556825,-10.9479544397594
10.4000247407017,-6.90027349804788,-11.0885477165373
10.408024759733,-6.96495701042185,-11.2305296441833
10.4160247787643,-7.02780556010041,-11.3739671670365
10.4240247977956,-7.08881480063255,-11.518916768525
10.4320248168269,-7.14797653783335,-11.6654213358956
10.4400248358582,-7.20527844781164,-11.8135081763012
10.4480248548895,-7.2607043238474,-11.9631883875059
10.4560248739208,-7.31423489388282,-12.1144577149808
10.4640248929521,-7.36584921367946,-12.267298934679
10.4720249119834,-7.41552660311907,-12.4216856899206
10.4800249310147,-7.46324905504909,-12.5775875964618
10.4880249500461,-7.5090040088975,-12.7349763397625
10.4960249690774,-7.55278734695318,-12.8938324466206
10.5040249881087,-7.59460644144799,-13.054152419963
10.51202500714,-7.63448305724967,-13.2159559592182
10.5200250261713,-7.6724559008495,-13.3792930266081
10.5280250452026,-7.70858260473749,-13.5442505514379
10.5360250642339,-7.74294094913447,-13.7109585890932
10.5440250832652,-7.77562914926007,-13.8795957705386
10.5520251022965,-7.80676507278165,-14.0503938936657
10.5600251213278,-7.83648429653357,-14.2236415218759
10.5680251403591,-7.86493696275911,-14.3996864679779
10.5760251593905,-7.89228344991507,-14.5789370513595
10.5840251784218,-7.91868892522674,-14.7618620239149
10.5920251974531,-7.94431688838068,-14.9489890676884
10.6000252164844,-7.96932184107976,-15.1409017723473
10.6080252355157,-7.99384121934672,-15.3382349940393
