pi_time,state_time,mot_ang,mot_vel,mot_acc,mot_volt,mot_cur,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang
1713469427.790176,7231607,732,-4,1,-352,-1269,23934,279,36,79,0,0,3902
1713469427.7941906,7231611,733,2,2,-352,-1265,23935,275,35,79,0,0,3902
1713469427.798183,7231615,733,-1,-6,-352,-1266,23935,275,35,79,0,0,3903
1713469427.8021746,7231619,733,-2,-4,-360,-1265,23935,275,35,79,0,0,3902
1713469427.8061807,7231623,732,-3,-2,-352,-1269,23938,269,35,79,0,0,3901
1713469427.8101997,7231627,731,-2,3,-352,-1267,23938,269,35,79,0,0,3902
1713469427.8141787,7231631,732,2,-4,-352,-1266,23947,283,35,79,0,0,3902
1713469427.8181787,7231635,732,1,1,-352,-1265,23947,283,35,79,0,0,3902
1713469427.822173,7231639,732,1,1,-360,-1269,23947,283,35,79,0,0,3902
1713469427.8261833,7231643,733,5,-2,-352,-1267,23943,287,36,79,0,0,3902
1713469427.8301768,7231647,732,-7,-1,-352,-1266,23943,287,36,79,0,0,3902
1713469427.8341742,7231651,733,4,1,-352,-1264,23939,298,36,79,0,0,3902
1713469427.8381774,7231655,732,-1,3,-352,-1265,23939,298,36,79,0,0,3902
1713469427.842192,7231659,732,0,1,-344,-1264,23939,298,36,79,0,0,3902
1713469427.8461866,7231663,733,2,1,-352,-1267,23938,283,36,79,0,0,3902
1713469427.8501773,7231667,734,3,3,-344,-1267,23938,283,36,79,0,0,3903
1713469427.8541746,7231671,732,-4,-2,-344,-1264,23943,282,36,79,0,0,3903
1713469427.858178,7231675,731,-5,-6,-352,-1266,23943,282,36,79,0,0,3902
1713469427.8621736,7231679,733,10,0,-344,-1266,23943,282,36,79,0,0,3903
1713469427.8661757,7231683,731,-9,1,-360,-1267,23942,272,36,79,0,0,3902
1713469427.870173,7231687,732,5,2,-352,-1268,23942,272,36,79,0,0,3902
1713469427.874175,7231691,732,3,3,-336,-1268,23938,266,36,79,0,0,3902
1713469427.8781772,7231695,732,0,-3,-344,-1263,23938,266,36,79,0,0,3903
1713469427.8821728,7231699,732,-2,1,-360,-1265,23938,266,36,79,0,0,3902
1713469427.886177,7231703,732,0,1,-352,-1263,23938,264,36,79,0,0,3902
1713469427.8901885,7231707,732,2,2,-352,-1264,23938,264,36,79,0,0,3902
1713469427.89418,7231711,732,0,2,-352,-1269,23944,252,36,79,0,0,3903
1713469427.898177,7231715,733,0,1,-344,-1266,23944,252,36,79,0,0,3902
1713469427.9021738,7231719,733,-2,3,-352,-1265,23944,252,36,79,0,0,3902
1713469427.9061897,7231723,733,-1,-3,-344,-1266,23947,278,36,79,0,0,3902
1713469427.9102154,7231727,732,-5,-5,-352,-1268,23947,278,36,79,0,0,3902
1713469427.9141898,7231731,731,0,-2,-360,-1269,23943,286,36,79,0,0,3901
1713469427.9181795,7231735,731,2,1,-352,-1268,23943,286,36,79,0,0,3903
1713469427.922173,7231739,731,-2,0,-352,-1266,23943,286,36,79,0,0,3903
1713469427.9262064,7231743,732,2,0,-352,-1268,23943,294,36,79,0,0,3902
1713469427.9301772,7231747,733,1,0,-352,-1266,23943,294,36,79,0,0,3902
1713469427.934175,7231751,732,-1,-1,-360,-1262,23942,263,36,79,0,0,3902
1713469427.9381776,7231755,733,0,-3,-352,-1263,23942,263,36,79,0,0,3902
1713469427.94219,7231759,733,0,1,-344,-1266,23942,263,36,79,0,0,3902
1713469427.9461746,7231763,733,2,0,-352,-1266,23943,267,36,79,0,0,3902
1713469427.9501734,7231767,732,0,3,-344,-1268,23943,267,36,79,0,0,3903
1713469427.9541755,7231771,732,3,1,-344,-1265,23940,269,36,79,0,0,3901
1713469427.958186,7231775,733,7,0,-344,-1266,23940,269,36,79,0,0,3902
1713469427.9621787,7231779,733,0,4,-352,-1268,23940,269,36,79,0,0,3902
1713469427.9663212,7231783,732,-6,0,-352,-1265,23941,278,36,79,0,0,3902
1713469427.9702275,7231787,733,2,4,-360,-1268,23941,278,36,79,0,0,3903
1713469427.9741917,7231791,733,1,1,-344,-1265,23945,266,36,79,0,0,3902
1713469427.9781737,7231795,733,-1,0,-352,-1266,23945,266,36,79,0,0,3902
1713469427.9821858,7231799,733,1,0,-352,-1264,23945,266,36,79,0,0,3902
1713469427.9861846,7231803,732,-3,-1,-360,-1265,23948,262,36,79,0,0,3901
1713469427.990192,7231807,732,0,1,-352,-1264,23948,262,36,79,0,0,3902
