Angle,Torque
-0.03679999999347357,-2.1260225019556116
-0.036799999994239906,-2.125709354633867
-0.03679999999416688,-2.1255148559877566
-0.036799999994103716,-2.1254138988244065
-0.03679999999409455,-2.1253757037542744
-0.036799999993947966,-2.125371891485738
-0.03679999999533158,-2.125383392540334
-0.03679999999473046,-2.1254051966777894
-0.03679999999444781,-2.125448384042425
-0.03679999999476527,-2.1255393298649246
-0.036799999993960816,-2.1257163601606646
-0.036799999993973834,-2.1260244182519665
-0.03679999999343806,-2.1265084698712085
-0.03679999999353996,-2.1272064392203984
-0.03679999999479293,-2.128142459039712
-0.03679999999538195,-2.129321167103098
-0.03679999999467562,-2.1307237037253546
-0.0367999999944738,-2.1323059476189643
-0.03679999999558459,-2.1339993469900187
-0.03679999999490892,-2.135714449641188
-0.03679999999460423,-2.137346933598035
-0.03679999999426895,-2.138785639041179
-0.03679999999474022,-2.1399218531549913
-0.03679999999425477,-2.140658932664804
-0.03679999999407621,-2.140921282513352
-0.03679999999448903,-2.1406617560404726
-0.03679999999415689,-2.139866698265107
-0.036799999994941296,-2.1385580928399492
-0.03679999999434954,-2.1367925644841392
-0.03679999999304901,-2.134657314346095
-0.03679999999416921,-2.1322634042543847
-0.03679999999393413,-2.1297371068695967
-0.03679999999412757,-2.127210235766035
-0.036799999994173264,-2.12481042371686
-0.036799999994333435,-2.1226522427897483
-0.03679999999491031,-2.120829904101499
-0.03679999999514632,-2.119412083229349
-0.036799999994829774,-2.118439209540112
-0.03679999999395304,-2.117923332414751
-0.03679999999435478,-2.117850428988638
-0.03679999999427745,-2.1181847551306006
-0.03679999999478746,-2.1188745954531276
-0.0367999999944986,-2.119858589396876
-0.03679999999330085,-2.1210717498474967
-0.036799999993832946,-2.122450380325449
-0.03679999999461069,-2.1239353414274937
-0.036799999995107975,-2.1254734912196462
-0.03679999999494758,-2.1270175611294535
-0.036799999993891615,-2.128525117304496
-0.03679999999398186,-2.129957469209237
-0.036799999994297006,-2.131279335416264
-0.03679999999456554,-2.132459766563782
-0.03679999999552709,-2.133474359011921
